format,metric,year,number_of_records,value_actual
Ringtones & Ringbacks,Units,1986,1,
Ringtones & Ringbacks,Units,1987,1,
Ringtones & Ringbacks,Units,1988,1,
Ringtones & Ringbacks,Units,1989,1,
Ringtones & Ringbacks,Units,1990,1,
Ringtones & Ringbacks,Units,1991,1,
Ringtones & Ringbacks,Units,1992,1,
Ringtones & Ringbacks,Units,1993,1,
Ringtones & Ringbacks,Units,1994,1,
Ringtones & Ringbacks,Units,1995,1,
Ringtones & Ringbacks,Units,1996,1,
Ringtones & Ringbacks,Units,1997,1,
Ringtones & Ringbacks,Units,1998,1,
Ringtones & Ringbacks,Units,1999,1,
Ringtones & Ringbacks,Units,2000,1,
Ringtones & Ringbacks,Units,2001,1,
Ringtones & Ringbacks,Units,2002,1,
Ringtones & Ringbacks,Units,2003,1,
Ringtones & Ringbacks,Units,2004,1,
Ringtones & Ringbacks,Units,2005,1,170
Ringtones & Ringbacks,Units,2006,1,315
Ringtones & Ringbacks,Units,2007,1,433.8
Ringtones & Ringbacks,Units,2008,1,405.1
Ringtones & Ringbacks,Units,2009,1,294.3
Ringtones & Ringbacks,Units,2010,1,188.5
Ringtones & Ringbacks,Units,2011,1,115.4
Ringtones & Ringbacks,Units,2012,1,58.757403556
Ringtones & Ringbacks,Units,2013,1,39.366235778
Ringtones & Ringbacks,Units,2014,1,26.632323683
Ringtones & Ringbacks,Units,2015,1,21.924866054
Ringtones & Ringbacks,Units,2016,1,22.620785392
Ringtones & Ringbacks,Units,2017,1,14.262869941
Ringtones & Ringbacks,Units,2018,1,10.026286725
Ringtones & Ringbacks,Units,2019,1,8.605769716
Paid Subscriptions,Units,1973,1,
Paid Subscriptions,Units,1974,1,
Paid Subscriptions,Units,1975,1,
Paid Subscriptions,Units,1976,1,
Paid Subscriptions,Units,1977,1,
Paid Subscriptions,Units,1978,1,
Paid Subscriptions,Units,1979,1,
Paid Subscriptions,Units,1980,1,
Paid Subscriptions,Units,1981,1,
Paid Subscriptions,Units,1982,1,
Paid Subscriptions,Units,1983,1,
Paid Subscriptions,Units,1984,1,
Paid Subscriptions,Units,1985,1,
Paid Subscriptions,Units,1986,1,
Paid Subscriptions,Units,1987,1,
Paid Subscriptions,Units,1988,1,
Paid Subscriptions,Units,1989,1,
Paid Subscriptions,Units,1990,1,
Paid Subscriptions,Units,1991,1,
Paid Subscriptions,Units,1992,1,
Paid Subscriptions,Units,1993,1,
Paid Subscriptions,Units,1994,1,
Paid Subscriptions,Units,1995,1,
Paid Subscriptions,Units,1996,1,
Paid Subscriptions,Units,1997,1,
Paid Subscriptions,Units,1998,1,
Paid Subscriptions,Units,1999,1,
Paid Subscriptions,Units,2000,1,
Paid Subscriptions,Units,2001,1,
Paid Subscriptions,Units,2002,1,
Paid Subscriptions,Units,2003,1,
Paid Subscriptions,Units,2004,1,
Paid Subscriptions,Units,2005,1,1.3
Paid Subscriptions,Units,2006,1,1.7
Paid Subscriptions,Units,2007,1,1.8
Paid Subscriptions,Units,2008,1,1.6
Paid Subscriptions,Units,2009,1,1.2
Paid Subscriptions,Units,2010,1,1.5
Paid Subscriptions,Units,2011,1,1.8
Paid Subscriptions,Units,2012,1,3.36
Paid Subscriptions,Units,2013,1,6.16
Paid Subscriptions,Units,2014,1,7.73
Paid Subscriptions,Units,2015,1,10.84
Paid Subscriptions,Units,2016,1,22.68
Paid Subscriptions,Units,2017,1,35.273501216
Paid Subscriptions,Units,2018,1,46.91132324
Paid Subscriptions,Units,2019,1,60.381947607
